I II V1 V2 V3 V4 V5 V6 III aVR aVL aVF
3.0 10.0 6.0 12.0 17.0 18.0 6.0 9.0 6.0 -8.0 -3.0 3.0
4.0 9.0 6.0 12.0 15.0 17.0 6.0 7.0 6.0 -6.5 -3.0 3.0
2.0 8.0 6.0 11.0 14.0 16.0 5.0 5.0 5.0 -5.5 -2.5 2.5
2.0 7.0 6.0 10.0 13.0 14.0 3.0 5.0 5.0 -4.5 -2.5 2.5
1.0 6.0 6.0 9.0 11.0 11.0 1.0 4.0 4.0 -4.0 -2.0 2.0
-3.0 5.0 6.0 8.0 10.0 9.0 0.0 3.0 4.0 -2.5 -2.0 2.0
-4.0 5.0 5.0 8.0 10.0 7.0 0.0 2.0 3.0 -1.5 -1.5 1.5
-3.0 4.0 5.0 7.0 9.0 5.0 1.0 1.0 3.0 -1.0 -1.5 1.5
-3.0 3.0 4.0 7.0 9.0 3.0 -0.0 -2.0 3.0 -1.0 -1.5 1.5
-2.0 3.0 5.0 6.0 7.0 1.0 -2.0 -2.0 2.0 -0.5 -1.0 1.0
-3.0 0.0 4.0 6.0 5.0 0.0 -0.0 -2.0 0.0 0.5 -0.0 0.0
-2.0 -2.0 5.0 5.0 4.0 -3.0 -2.0 -2.0 0.0 1.0 -0.0 0.0
-2.0 0.0 5.0 4.0 4.0 -5.0 -3.0 -3.0 2.0 1.5 -1.0 1.0
-2.0 -0.0 5.0 4.0 3.0 -7.0 -4.0 -3.0 3.0 3.0 -1.5 1.5
-2.0 -0.0 4.0 3.0 1.0 -9.0 -4.0 -4.0 4.0 3.5 -2.0 2.0
-4.0 -3.0 4.0 2.0 -0.0 -10.0 -5.0 -5.0 4.0 4.0 -2.0 2.0
-4.0 -2.0 4.0 2.0 -0.0 -10.0 -5.0 -5.0 4.0 3.5 -2.0 2.0
-4.0 -3.0 4.0 2.0 0.0 -10.0 -6.0 -5.0 2.0 5.0 -1.0 1.0
-5.0 -3.0 4.0 2.0 -0.0 -9.0 -5.0 -5.0 4.0 4.5 -2.0 2.0
-6.0 -5.0 4.0 2.0 -0.0 -9.0 -5.0 -4.0 4.0 5.5 -2.0 2.0
-6.0 -6.0 3.0 2.0 -2.0 -9.0 -4.0 -5.0 4.0 5.5 -2.0 2.0
-5.0 -7.0 4.0 2.0 -2.0 -8.0 -5.0 -4.0 4.0 6.0 -2.0 2.0
-6.0 -6.0 3.0 2.0 -2.0 -8.0 -6.0 -5.0 4.0 6.0 -2.0 2.0
-6.0 -5.0 3.0 2.0 -2.0 -8.0 -7.0 -5.0 3.0 6.0 -1.5 1.5
-7.0 -5.0 3.0 1.0 -2.0 -7.0 -7.0 -6.0 3.0 6.0 -1.5 1.5
-7.0 -4.0 3.0 1.0 -3.0 -6.0 -7.0 -7.0 4.0 5.5 -2.0 2.0
-7.0 -4.0 3.0 2.0 -4.0 -7.0 -7.0 -7.0 3.0 5.0 -1.5 1.5
-7.0 -5.0 3.0 2.0 -4.0 -6.0 -7.0 -7.0 2.0 5.0 -1.0 1.0
-7.0 -5.0 4.0 2.0 -3.0 -7.0 -7.0 -7.0 2.0 5.0 -1.0 1.0
-7.0 -5.0 4.0 1.0 -2.0 -6.0 -7.0 -7.0 2.0 4.5 -1.0 1.0
-8.0 -6.0 4.0 1.0 -2.0 -6.0 -7.0 -7.0 1.0 5.0 -0.5 0.5
-8.0 -6.0 4.0 1.0 -2.0 -5.0 -7.0 -7.0 1.0 5.0 -0.5 0.5
-8.0 -5.0 4.0 1.0 -3.0 -5.0 -7.0 -7.0 1.0 5.0 -0.5 0.5
-7.0 -3.0 4.0 1.0 -3.0 -5.0 -7.0 -7.0 1.0 4.5 -0.5 0.5
-5.0 -2.0 4.0 1.0 -3.0 -4.0 -7.0 -7.0 2.0 4.0 -1.0 1.0
-5.0 -2.0 4.0 1.0 -4.0 -4.0 -8.0 -7.0 1.0 3.5 -0.5 0.5
-6.0 -3.0 3.0 1.0 -4.0 -5.0 -8.0 -8.0 1.0 3.5 -0.5 0.5
-6.0 -4.0 3.0 1.0 -4.0 -5.0 -8.0 -8.0 2.0 3.5 -1.0 1.0
-5.0 -5.0 4.0 1.0 -4.0 -5.0 -7.0 -8.0 1.0 4.5 -0.5 0.5
-5.0 -6.0 3.0 1.0 -4.0 -6.0 -7.0 -8.0 1.0 5.5 -0.5 0.5
